Time,Channel A,Channel B
(ms),(V),(mV)

-7.50621081,0.00488341,-0.73251120
-7.50366081,0.00000000,-0.73251120
-7.50111081,0.00000000,-0.73251120
-7.49856081,-0.00610426,-0.36625560
-7.49601081,0.00488341,-0.73251120
-7.49346081,0.00000000,-0.73251120
-7.49091081,-0.01098767,-1.09876700
-7.48836081,0.00000000,-0.73251120
-7.48581081,0.00488341,-0.73251120
-7.48326081,-0.00610426,-0.73251120
-7.48071081,0.00000000,-1.09876700
-7.47816081,-0.01587108,-0.73251120
-7.47561081,-0.00610426,-1.09876700
-7.47306081,0.00000000,-1.83127800
-7.47051081,-0.00610426,-0.73251120
-7.46796081,0.00976682,-0.73251120
-7.46541081,0.00000000,-1.09876700
-7.46286081,0.00000000,-0.36625560
-7.46031081,0.00000000,-1.46502200
-7.45776081,-0.00610426,-1.09876700
-7.45521081,-0.01098767,-1.09876700
-7.45266081,0.00000000,-0.36625560
-7.45011081,0.00976682,-1.09876700
-7.44756081,-0.01098767,-0.73251120
-7.44501081,-0.00610426,-0.73251120
-7.44246081,-0.01098767,-1.09876700
-7.43991081,-0.00610426,-1.09876700
-7.43736081,0.00488341,-0.36625560
-7.43481081,-0.00610426,-1.09876700
-7.43226081,-0.00610426,-0.73251120
-7.42971081,-0.00610426,-0.36625560
-7.42716081,0.00488341,-0.73251120
-7.42461081,-0.00610426,-0.36625560
-7.42206081,-0.00610426,-0.73251120
-7.41951081,-0.00610426,-1.09876700
-7.41696081,0.00000000,-1.46502200
-7.41441081,0.00000000,-1.46502200
-7.41186081,-0.00610426,-0.73251120
-7.40931081,0.00000000,-1.09876700
-7.40676081,0.00000000,-1.09876700
-7.40421081,0.00488341,-1.09876700
-7.40166081,-0.00610426,-1.46502200
-7.39911081,0.00000000,-1.09876700
-7.39656081,0.00976682,-1.09876700
-7.39401081,-0.00610426,-0.73251120
-7.39146081,0.00488341,-1.09876700
-7.38891081,0.00000000,-0.36625560
-7.38636081,0.00000000,-0.73251120
-7.38381081,0.00000000,-0.73251120
-7.38126081,0.00000000,-1.09876700
-7.37871081,-0.00610426,-0.73251120
-7.37616081,0.00000000,-0.73251120
-7.37361081,-0.00610426,-1.09876700
-7.37106082,0.00488341,-1.09876700
-7.36851082,-0.00610426,-0.73251120
-7.36596082,0.00488341,-0.73251120
-7.36341082,-0.00610426,-1.09876700
-7.36086082,0.00000000,-1.09876700
-7.35831082,0.00000000,-1.09876700
-7.35576082,-0.00610426,-0.73251120
-7.35321082,0.00488341,-0.73251120
-7.35066082,0.00000000,-0.73251120
-7.34811082,0.00000000,-1.09876700
-7.34556082,0.00000000,-0.73251120
-7.34301082,0.00488341,-0.73251120
-7.34046082,0.00000000,-0.73251120
-7.33791082,0.00488341,-1.46502200
-7.33536082,0.00488341,-0.73251120
-7.33281082,-0.00610426,-1.09876700
-7.33026082,-0.01587108,-1.09876700
-7.32771082,-0.00610426,-0.73251120
-7.32516082,0.00000000,-1.09876700
-7.32261082,-0.00610426,-1.09876700
-7.32006082,0.00000000,-1.09876700
-7.31751082,0.00488341,-0.73251120
-7.31496082,-0.00610426,-0.73251120
-7.31241082,0.00000000,-0.73251120
-7.30986082,-0.00610426,-0.73251120
-7.30731082,0.00000000,-0.73251120
-7.30476082,0.02075449,-0.36625560
-7.30221082,-0.00610426,-1.09876700
-7.29966082,0.00000000,-1.09876700
-7.29711082,-0.01098767,-1.09876700
-7.29456082,0.00488341,-1.09876700
-7.29201082,-0.01098767,-1.09876700
-7.28946082,-0.00610426,-0.73251120
-7.28691082,0.00000000,-1.09876700
-7.28436082,-0.00610426,-0.36625560
-7.28181082,-0.01098767,-1.09876700
-7.27926082,-0.00610426,-0.73251120
-7.27671082,0.00000000,-0.73251120
-7.27416082,-0.00610426,-1.09876700
-7.27161082,0.00976682,-1.46502200
-7.26906082,0.00000000,-1.09876700
-7.26651082,0.00488341,-0.73251120
-7.26396082,0.00000000,-1.09876700
-7.26141082,-0.00610426,-1.09876700
-7.25886082,0.00488341,-0.73251120
-7.25631082,0.00000000,-1.09876700
-7.25376082,-0.00610426,-1.09876700
-7.25121082,-0.01098767,-1.09876700
-7.24866082,0.00000000,-0.73251120
-7.24611082,0.00000000,-0.73251120
-7.24356082,0.00000000,-1.09876700
-7.24101082,-0.01587108,-1.09876700
-7.23846082,-0.01098767,-0.73251120
-7.23591082,0.00000000,-1.09876700
-7.23336082,-0.00610426,-1.09876700
-7.23081082,0.00976682,-0.73251120
-7.22826082,0.00000000,-0.73251120
-7.22571082,0.00488341,-1.09876700
-7.22316082,0.00976682,-0.73251120
-7.22061082,-0.01098767,-1.09876700
-7.21806082,-0.01098767,-0.73251120
-7.21551082,0.00976682,-1.09876700
-7.21296082,-0.00610426,-1.09876700
-7.21041082,0.00000000,-1.09876700
-7.20786082,-0.00610426,-1.46502200
-7.20531082,-0.00610426,-1.09876700
-7.20276082,-0.00610426,-1.09876700
-7.20021082,0.00000000,-0.73251120
-7.19766082,0.00000000,-1.09876700
-7.19511082,0.00488341,-1.46502200
-7.19256082,0.00488341,-1.09876700
-7.19001082,-0.00610426,-1.09876700
-7.18746082,0.00976682,-0.73251120
-7.18491083,0.00000000,-1.09876700
-7.18236083,0.00488341,-1.09876700
-7.17981083,0.00000000,-1.09876700
-7.17726083,0.00488341,-1.09876700
-7.17471083,0.00488341,-0.73251120
-7.17216083,-0.00610426,-0.73251120
-7.16961083,-0.01098767,-1.09876700
-7.16706083,-0.00610426,-1.09876700
-7.16451083,0.00000000,-0.73251120
-7.16196083,0.00000000,-0.73251120
-7.15941083,-0.00610426,-0.73251120
-7.15686083,0.00488341,-1.09876700
-7.15431083,0.00488341,-0.73251120
-7.15176083,0.00000000,-0.73251120
-7.14921083,-0.00610426,-1.09876700
-7.14666083,0.00000000,-0.73251120
-7.14411083,-0.00610426,-1.09876700
-7.14156083,0.00000000,-0.36625560
-7.13901083,0.00000000,-0.73251120
-7.13646083,0.00976682,-0.73251120
-7.13391083,0.00000000,-0.73251120
-7.13136083,0.00000000,-0.73251120
-7.12881083,-0.01098767,-0.73251120
-7.12626083,-0.01098767,-0.73251120
-7.12371083,-0.01587108,-1.46502200
-7.12116083,-0.00610426,-0.73251120
-7.11861083,0.00976682,-0.73251120
-7.11606083,-0.00610426,-1.09876700
-7.11351083,-0.01098767,-0.73251120
-7.11096083,0.00000000,-1.46502200
-7.10841083,-0.01098767,-1.09876700
-7.10586083,0.00000000,-0.73251120
-7.10331083,0.00000000,-1.09876700
-7.10076083,0.00488341,-1.09876700
-7.09821083,-0.00610426,-0.73251120
-7.09566083,-0.00610426,-0.73251120
-7.09311083,0.00000000,-0.73251120
-7.09056083,-0.01098767,-0.73251120
-7.08801083,0.00000000,-1.09876700
-7.08546083,0.00000000,-1.09876700
-7.08291083,0.00488341,-1.09876700
-7.08036083,0.00488341,-0.73251120
-7.07781083,0.00000000,-1.09876700
-7.07526083,0.00000000,-0.73251120
-7.07271083,-0.00610426,-1.09876700
-7.07016083,-0.01098767,-0.36625560
-7.06761083,0.00488341,-0.73251120
-7.06506083,0.00000000,-1.09876700
-7.06251083,-0.01587108,-1.09876700
-7.05996083,0.00000000,-1.09876700
-7.05741083,0.00488341,-0.36625560
-7.05486083,0.00488341,-1.09876700
-7.05231083,-0.01587108,-0.73251120
-7.04976083,-0.00610426,-1.46502200
-7.04721083,0.00488341,-0.73251120
-7.04466083,-0.01098767,-0.73251120
-7.04211083,0.00488341,-0.73251120
-7.03956083,0.01465023,-0.73251120
-7.03701083,0.00000000,-1.09876700
-7.03446083,0.00488341,-1.09876700
-7.03191083,-0.00610426,-1.09876700
