Time,Channel A,Channel B
(ms),(V),(mV)

-7.50489685,-0.01098767,-0.36625560
-7.50234685,-0.01098767,0.00000000
-7.49979685,-0.00610426,0.00000000
-7.49724685,-0.00610426,0.00000000
-7.49469685,-0.01098767,0.30521300
-7.49214685,0.00488341,0.00000000
-7.48959685,0.00488341,0.00000000
-7.48704685,0.00000000,0.00000000
-7.48449685,0.00488341,0.30521300
-7.48194685,0.00000000,0.00000000
-7.47939685,0.00976682,0.00000000
-7.47684685,0.00488341,-0.36625560
-7.47429685,-0.00610426,0.00000000
-7.47174685,0.00000000,0.00000000
-7.46919685,0.00000000,-0.36625560
-7.46664685,0.00000000,0.30521300
-7.46409685,0.00488341,-0.36625560
-7.46154685,0.00000000,0.30521300
-7.45899685,0.00000000,0.00000000
-7.45644685,0.00488341,0.00000000
-7.45389685,-0.00610426,0.00000000
-7.45134685,-0.00610426,0.00000000
-7.44879685,0.00000000,-0.36625560
-7.44624685,-0.00610426,0.00000000
-7.44369685,0.00488341,0.00000000
-7.44114685,0.00000000,0.00000000
-7.43859685,0.00000000,0.00000000
-7.43604685,-0.00610426,0.30521300
-7.43349685,0.00000000,0.30521300
-7.43094685,-0.00610426,-0.36625560
-7.42839685,0.00000000,0.00000000
-7.42584685,0.00000000,0.00000000
-7.42329685,0.00000000,0.00000000
-7.42074685,-0.00610426,0.00000000
-7.41819685,0.00000000,-0.36625560
-7.41564685,-0.01098767,0.00000000
-7.41309685,0.00488341,-0.36625560
-7.41054685,0.00488341,0.00000000
-7.40799685,-0.00610426,0.00000000
-7.40544685,0.00488341,0.00000000
-7.40289685,0.00000000,0.00000000
-7.40034685,0.00000000,0.00000000
-7.39779685,-0.00610426,-0.36625560
-7.39524685,0.00488341,0.00000000
-7.39269685,0.00976682,0.00000000
-7.39014685,-0.01098767,0.00000000
-7.38759685,-0.01098767,0.00000000
-7.38504685,0.00488341,0.00000000
-7.38249685,-0.01098767,0.00000000
-7.37994686,0.00000000,0.30521300
-7.37739686,-0.00610426,0.00000000
-7.37484686,0.00488341,0.00000000
-7.37229686,0.00976682,0.00000000
-7.36974686,-0.01098767,0.00000000
-7.36719686,0.00000000,0.00000000
-7.36464686,0.00976682,0.30521300
-7.36209686,-0.00610426,0.30521300
-7.35954686,0.00000000,-0.36625560
-7.35699686,-0.00610426,0.00000000
-7.35444686,-0.00610426,0.00000000
-7.35189686,-0.00610426,-0.36625560
-7.34934686,0.00488341,0.00000000
-7.34679686,0.00000000,-0.36625560
-7.34424686,-0.00610426,0.00000000
-7.34169686,0.00000000,0.00000000
-7.33914686,0.00000000,0.00000000
-7.33659686,0.00488341,-0.36625560
-7.33404686,-0.00610426,0.30521300
-7.33149686,-0.00610426,0.00000000
-7.32894686,0.00000000,0.00000000
-7.32639686,0.00000000,-0.36625560
-7.32384686,0.00488341,-0.36625560
-7.32129686,0.00488341,0.30521300
-7.31874686,0.00000000,-0.36625560
-7.31619686,0.00000000,0.00000000
-7.31364686,0.00000000,0.00000000
-7.31109686,0.00488341,0.30521300
-7.30854686,0.00000000,-0.36625560
-7.30599686,0.00000000,0.00000000
-7.30344686,0.00976682,0.00000000
-7.30089686,-0.00610426,-0.36625560
-7.29834686,-0.01098767,0.00000000
-7.29579686,0.00000000,0.00000000
-7.29324686,0.00000000,0.00000000
-7.29069686,0.00000000,-0.36625560
-7.28814686,-0.01098767,0.00000000
-7.28559686,-0.00610426,0.30521300
-7.28304686,0.00488341,0.30521300
-7.28049686,0.00000000,0.00000000
-7.27794686,-0.00610426,0.00000000
-7.27539686,-0.00610426,0.00000000
-7.27284686,0.00000000,0.00000000
-7.27029686,-0.00610426,0.30521300
-7.26774686,0.00488341,-0.36625560
-7.26519686,-0.01098767,0.30521300
-7.26264686,0.00000000,0.00000000
-7.26009686,0.00000000,0.00000000
-7.25754686,0.00000000,0.00000000
-7.25499686,0.00976682,0.00000000
-7.25244686,0.00488341,-0.36625560
-7.24989686,0.00000000,0.00000000
-7.24734686,0.00488341,0.30521300
-7.24479686,0.00000000,0.30521300
-7.24224686,-0.00610426,0.00000000
-7.23969686,-0.00610426,0.00000000
-7.23714686,0.00000000,0.30521300
-7.23459686,-0.00610426,0.30521300
-7.23204686,0.00000000,0.30521300
-7.22949686,0.00000000,-0.36625560
-7.22694686,0.00488341,0.00000000
-7.22439686,0.00000000,-0.36625560
-7.22184686,0.00488341,0.30521300
-7.21929686,-0.00610426,0.00000000
-7.21674686,0.00488341,0.30521300
-7.21419686,0.00000000,0.30521300
-7.21164686,0.00488341,0.00000000
-7.20909686,-0.01098767,0.00000000
-7.20654686,-0.01587108,0.00000000
-7.20399686,-0.00610426,0.00000000
-7.20144686,-0.00610426,0.30521300
-7.19889686,-0.00610426,0.00000000
-7.19634686,0.00000000,0.00000000
-7.19379687,0.00000000,0.30521300
-7.19124687,0.00000000,0.00000000
-7.18869687,-0.00610426,0.30521300
-7.18614687,0.00000000,-0.36625560
-7.18359687,-0.00610426,0.00000000
-7.18104687,0.00488341,0.00000000
-7.17849687,-0.00610426,0.00000000
-7.17594687,-0.00610426,0.00000000
-7.17339687,0.02075449,0.30521300
-7.17084687,0.00000000,0.00000000
-7.16829687,0.00488341,0.00000000
-7.16574687,0.00000000,0.30521300
-7.16319687,0.00000000,0.30521300
-7.16064687,0.00488341,0.30521300
-7.15809687,0.00000000,0.00000000
-7.15554687,-0.00610426,-0.36625560
-7.15299687,0.00000000,-0.36625560
-7.15044687,0.01465023,0.00000000
-7.14789687,-0.00610426,0.30521300
-7.14534687,-0.00610426,0.67146860
-7.14279687,-0.01098767,0.00000000
-7.14024687,-0.00610426,0.00000000
-7.13769687,-0.01098767,0.00000000
-7.13514687,-0.00610426,0.00000000
-7.13259687,-0.00610426,0.00000000
-7.13004687,0.00000000,0.00000000
-7.12749687,-0.00610426,0.00000000
-7.12494687,-0.01098767,0.00000000
-7.12239687,0.00000000,0.30521300
-7.11984687,-0.00610426,-0.36625560
-7.11729687,0.00000000,-0.36625560
-7.11474687,-0.00610426,0.00000000
-7.11219687,0.00000000,0.00000000
-7.10964687,0.00000000,0.30521300
-7.10709687,0.00488341,0.00000000
-7.10454687,-0.01098767,0.00000000
-7.10199687,0.00000000,0.00000000
-7.09944687,0.00000000,0.00000000
-7.09689687,0.00000000,0.00000000
-7.09434687,0.00000000,0.00000000
-7.09179687,0.00000000,-0.36625560
-7.08924687,0.00000000,0.30521300
-7.08669687,-0.01098767,0.30521300
-7.08414687,-0.00610426,0.00000000
-7.08159687,0.00000000,0.30521300
-7.07904687,0.00000000,0.00000000
-7.07649687,-0.00610426,0.30521300
-7.07394687,0.00000000,0.00000000
-7.07139687,0.00976682,0.30521300
-7.06884687,0.00000000,0.00000000
-7.06629687,0.00488341,0.30521300
-7.06374687,0.00000000,0.00000000
-7.06119687,0.00976682,-0.36625560
-7.05864687,0.00488341,0.00000000
-7.05609687,0.00488341,0.30521300
-7.05354687,0.00488341,0.00000000
-7.05099687,-0.01098767,0.00000000
-7.04844687,0.00488341,0.00000000
-7.04589687,0.00488341,-0.36625560
-7.04334687,-0.00610426,0.00000000
-7.04079687,-0.00610426,0.30521300
-7.03824687,-0.00610426,-0.36625560
-7.03569687,-0.00610426,0.00000000
-7.03314687,-0.00610426,-0.36625560
-7.03059687,0.00488341,0.00000000
-7.02804687,-0.00610426,0.00000000
-7.02549687,-0.01098767,0.00000000
-7.02294687,0.00488341,0.30521300
-7.02039687,-0.00610426,0.30521300
-7.01784687,-0.01098767,0.00000000
-7.01529687,0.00976682,0.00000000
-7.01274687,0.00488341,-0.36625560
-7.01019688,0.00000000,0.00000000
