Time,Channel A,Channel B
(ms),(V),(mV)

-7.50572282,-0.00610426,-1.09876700
-7.50317282,0.00000000,-1.09876700
-7.50062282,0.00976682,-0.73251120
-7.49807282,0.00976682,-1.09876700
-7.49552282,0.00000000,-0.36625560
-7.49297282,-0.00610426,-0.73251120
-7.49042282,0.00976682,-1.09876700
-7.48787282,0.00000000,-1.09876700
-7.48532282,0.00000000,-1.46502200
-7.48277282,0.00488341,-0.73251120
-7.48022282,0.00488341,-0.73251120
-7.47767282,-0.01098767,-0.73251120
-7.47512282,0.00000000,-1.09876700
-7.47257282,-0.00610426,-1.46502200
-7.47002282,0.00000000,-0.73251120
-7.46747282,0.00488341,-1.09876700
-7.46492282,-0.00610426,-1.09876700
-7.46237282,0.00000000,-0.73251120
-7.45982282,0.00000000,-0.73251120
-7.45727282,0.00000000,-1.09876700
-7.45472282,0.00000000,-0.73251120
-7.45217282,0.00976682,-1.09876700
-7.44962282,0.00976682,-1.09876700
-7.44707282,0.00000000,-0.73251120
-7.44452282,-0.00610426,-1.09876700
-7.44197282,-0.01098767,-0.73251120
-7.43942282,-0.01098767,-0.73251120
-7.43687282,-0.00610426,-1.09876700
-7.43432282,0.00000000,-1.09876700
-7.43177282,-0.00610426,-1.09876700
-7.42922282,0.00000000,-0.73251120
-7.42667282,-0.01098767,-1.09876700
-7.42412282,0.00488341,-1.46502200
-7.42157282,0.00976682,-1.09876700
-7.41902282,0.00000000,-1.09876700
-7.41647282,-0.00610426,-0.36625560
-7.41392282,-0.00610426,-0.73251120
-7.41137282,0.00000000,-0.73251120
-7.40882282,0.00488341,-1.09876700
-7.40627282,-0.00610426,-0.73251120
-7.40372282,0.00000000,-0.73251120
-7.40117282,-0.01098767,-1.09876700
-7.39862282,-0.00610426,-1.09876700
-7.39607282,0.00000000,-0.73251120
-7.39352282,0.00488341,-1.46502200
-7.39097282,-0.00610426,-0.73251120
-7.38842282,0.00976682,-1.09876700
-7.38587282,0.00000000,-0.73251120
-7.38332282,0.00000000,-0.73251120
-7.38077282,-0.00610426,-0.73251120
-7.37822282,0.00976682,-1.09876700
-7.37567282,0.00488341,-1.46502200
-7.37312283,0.00488341,-1.09876700
-7.37057283,0.00488341,-0.73251120
-7.36802283,-0.01098767,-0.73251120
-7.36547283,0.00000000,-1.46502200
-7.36292283,0.01465023,-1.09876700
-7.36037283,-0.00610426,-1.09876700
-7.35782283,0.00488341,-0.73251120
-7.35527283,0.00000000,-0.73251120
-7.35272283,0.00000000,-1.46502200
-7.35017283,-0.00610426,-0.73251120
-7.34762283,0.00976682,-0.73251120
-7.34507283,0.00000000,-0.36625560
-7.34252283,-0.00610426,-1.09876700
-7.33997283,0.00000000,-1.09876700
-7.33742283,-0.00610426,-1.09876700
-7.33487283,0.00488341,-1.09876700
-7.33232283,-0.00610426,-1.46502200
-7.32977283,0.00488341,-0.73251120
-7.32722283,-0.01098767,-1.09876700
-7.32467283,0.00000000,-0.73251120
-7.32212283,0.00000000,-1.09876700
-7.31957283,0.00488341,-1.09876700
-7.31702283,-0.00610426,-1.09876700
-7.31447283,0.00000000,-1.09876700
-7.31192283,-0.00610426,-1.09876700
-7.30937283,0.00000000,-1.09876700
-7.30682283,-0.00610426,-0.73251120
-7.30427283,0.00000000,-1.09876700
-7.30172283,0.00000000,-0.73251120
-7.29917283,-0.00610426,-1.09876700
-7.29662283,-0.00610426,-1.09876700
-7.29407283,0.00000000,-0.73251120
-7.29152283,-0.00610426,-1.09876700
-7.28897283,0.00000000,-1.46502200
-7.28642283,0.00976682,-0.36625560
-7.28387283,0.00000000,-0.73251120
-7.28132283,-0.00610426,-1.09876700
-7.27877283,0.00488341,-1.09876700
-7.27622283,0.00000000,-0.36625560
-7.27367283,-0.00610426,-0.73251120
-7.27112283,-0.00610426,-1.09876700
-7.26857283,0.00488341,-1.46502200
-7.26602283,-0.00610426,-0.73251120
-7.26347283,0.00000000,-1.09876700
-7.26092283,-0.00610426,-1.09876700
-7.25837283,-0.00610426,-0.73251120
-7.25582283,-0.00610426,-0.73251120
-7.25327283,0.00488341,-1.09876700
-7.25072283,0.00000000,-0.73251120
-7.24817283,0.00488341,-0.36625560
-7.24562283,-0.01098767,-0.73251120
-7.24307283,0.00000000,-0.36625560
-7.24052283,0.00488341,-0.73251120
-7.23797283,-0.00610426,-0.73251120
-7.23542283,0.00000000,-0.73251120
-7.23287283,-0.00610426,-1.46502200
-7.23032283,0.00000000,-0.73251120
-7.22777283,0.00000000,-0.73251120
-7.22522283,0.00976682,-0.73251120
-7.22267283,0.00000000,-0.73251120
-7.22012283,0.00000000,-1.09876700
-7.21757283,-0.01098767,-0.73251120
-7.21502283,-0.00610426,-0.73251120
-7.21247283,0.00488341,-0.73251120
-7.20992283,0.00000000,-0.73251120
-7.20737283,-0.00610426,-0.73251120
-7.20482283,0.01465023,-1.09876700
-7.20227283,0.00000000,-1.09876700
-7.19972283,0.00000000,-1.09876700
-7.19717283,0.00000000,-1.09876700
-7.19462283,-0.00610426,-1.46502200
-7.19207283,-0.00610426,-0.73251120
-7.18952284,-0.01098767,-0.73251120
-7.18697284,0.00000000,-0.36625560
-7.18442284,-0.00610426,-1.09876700
-7.18187284,0.00488341,-1.09876700
-7.17932284,0.00000000,-0.73251120
-7.17677284,-0.00610426,-1.09876700
-7.17422284,-0.01098767,-0.73251120
-7.17167284,0.00488341,-1.09876700
-7.16912284,0.00488341,-0.36625560
-7.16657284,0.00000000,-1.09876700
-7.16402284,-0.00610426,-0.36625560
-7.16147284,0.00000000,-1.09876700
-7.15892284,0.00488341,-0.73251120
-7.15637284,0.00000000,-0.73251120
-7.15382284,0.00488341,-1.09876700
-7.15127284,-0.01098767,-0.73251120
-7.14872284,0.00976682,-1.09876700
-7.14617284,-0.00610426,-0.73251120
-7.14362284,-0.00610426,-1.09876700
-7.14107284,0.00976682,-0.36625560
-7.13852284,-0.01098767,-0.73251120
-7.13597284,0.00000000,-0.36625560
-7.13342284,0.00488341,-0.73251120
-7.13087284,-0.01098767,-0.73251120
-7.12832284,0.00488341,-0.73251120
-7.12577284,-0.00610426,-0.73251120
-7.12322284,-0.01098767,-1.09876700
-7.12067284,0.00000000,-0.36625560
-7.11812284,-0.00610426,-0.73251120
-7.11557284,0.00000000,-0.73251120
-7.11302284,0.00488341,-1.46502200
-7.11047284,0.00000000,-0.73251120
-7.10792284,0.00000000,-0.36625560
-7.10537284,-0.00610426,-1.09876700
-7.10282284,-0.01098767,-1.09876700
-7.10027284,-0.00610426,-0.73251120
-7.09772284,0.00000000,-0.73251120
-7.09517284,0.00488341,-0.73251120
-7.09262284,-0.00610426,-0.73251120
-7.09007284,0.00488341,-1.09876700
-7.08752284,0.00000000,-1.09876700
-7.08497284,0.00976682,-0.73251120
-7.08242284,0.00000000,-1.09876700
-7.07987284,0.00488341,-1.09876700
-7.07732284,0.00000000,-0.73251120
-7.07477284,0.00000000,-0.73251120
-7.07222284,0.00488341,-0.73251120
-7.06967284,-0.01587108,-1.09876700
-7.06712284,0.00000000,-0.73251120
-7.06457284,0.00000000,-1.09876700
-7.06202284,0.00488341,-1.09876700
-7.05947284,0.00000000,-1.09876700
-7.05692284,0.00000000,-0.73251120
-7.05437284,-0.00610426,-1.46502200
-7.05182284,-0.00610426,-1.09876700
-7.04927284,-0.00610426,-1.09876700
-7.04672284,0.00000000,-1.46502200
-7.04417284,0.00488341,-0.73251120
-7.04162284,0.00000000,-1.09876700
-7.03907284,-0.01098767,-1.09876700
-7.03652284,0.00000000,-1.09876700
-7.03397284,0.00000000,-1.09876700
-7.03142284,-0.00610426,-1.09876700
