Time,Channel A,Channel B
(ms),(V),(mV)

-7.50523384,0.00000000,-0.73251120
-7.50268384,0.00488341,-0.73251120
-7.50013384,0.00000000,-0.73251120
-7.49758384,0.00488341,-1.09876700
-7.49503384,0.00976682,-1.09876700
-7.49248384,0.00000000,-1.09876700
-7.48993384,-0.01098767,-1.09876700
-7.48738384,0.00000000,-0.36625560
-7.48483384,0.00488341,-0.73251120
-7.48228384,0.00000000,-0.73251120
-7.47973384,0.00000000,-0.73251120
-7.47718384,-0.00610426,-1.09876700
-7.47463384,-0.01098767,-1.09876700
-7.47208384,-0.00610426,-1.09876700
-7.46953384,-0.01098767,-1.09876700
-7.46698384,0.00488341,-0.73251120
-7.46443384,-0.00610426,-1.09876700
-7.46188384,-0.01587108,-1.46502200
-7.45933384,-0.00610426,-0.73251120
-7.45678384,-0.01098767,-0.73251120
-7.45423384,-0.01098767,-1.46502200
-7.45168384,-0.00610426,-1.09876700
-7.44913384,0.00000000,-1.46502200
-7.44658384,0.00000000,-0.73251120
-7.44403384,-0.00610426,-0.73251120
-7.44148384,0.00000000,-0.73251120
-7.43893384,0.00000000,0.00000000
-7.43638384,0.00488341,-0.73251120
-7.43383384,0.00000000,-0.73251120
-7.43128384,0.00000000,-1.09876700
-7.42873384,0.00488341,-1.09876700
-7.42618384,-0.00610426,-0.36625560
-7.42363384,0.00000000,-1.09876700
-7.42108384,0.00488341,-1.09876700
-7.41853384,0.00488341,-0.73251120
-7.41598384,0.00000000,-1.09876700
-7.41343384,-0.01098767,-1.09876700
-7.41088384,0.00000000,-1.09876700
-7.40833384,0.00488341,-0.73251120
-7.40578384,-0.00610426,-0.73251120
-7.40323384,0.00000000,-0.73251120
-7.40068384,-0.00610426,-1.09876700
-7.39813384,0.00000000,-0.73251120
-7.39558384,0.00000000,-0.73251120
-7.39303384,-0.00610426,-1.09876700
-7.39048384,0.00000000,-1.09876700
-7.38793384,-0.01098767,-0.73251120
-7.38538384,0.00000000,-1.09876700
-7.38283384,0.00488341,-1.09876700
-7.38028384,-0.00610426,-1.09876700
-7.37773384,0.00000000,-1.46502200
-7.37518384,-0.00610426,-1.09876700
-7.37263384,0.00976682,-1.09876700
-7.37008384,0.00000000,-1.09876700
-7.36753384,0.00488341,-0.36625560
-7.36498384,-0.00610426,-1.09876700
-7.36243384,0.00000000,-0.36625560
-7.35988384,-0.00610426,-0.36625560
-7.35733384,0.00488341,-0.73251120
-7.35478384,0.00000000,-0.73251120
-7.35223384,0.00000000,-0.73251120
-7.34968384,0.00488341,-0.73251120
-7.34713384,-0.00610426,-1.09876700
-7.34458384,0.00000000,-0.73251120
-7.34203384,0.00488341,-0.36625560
-7.33948384,-0.01098767,-1.09876700
-7.33693384,-0.00610426,-0.36625560
-7.33438384,0.00488341,0.00000000
-7.33183384,0.00000000,-1.09876700
-7.32928384,-0.01098767,-1.09876700
-7.32673384,-0.00610426,-1.09876700
-7.32418385,0.00488341,-0.36625560
-7.32163385,0.00000000,-1.09876700
-7.31908385,0.00000000,-0.36625560
-7.31653385,-0.01098767,-0.73251120
-7.31398385,-0.00610426,-1.09876700
-7.31143385,-0.00610426,-0.73251120
-7.30888385,0.00000000,-1.09876700
-7.30633385,0.00000000,-0.73251120
-7.30378385,0.00000000,-1.09876700
-7.30123385,0.01465023,-0.73251120
-7.29868385,0.00976682,-1.09876700
-7.29613385,-0.01098767,-0.73251120
-7.29358385,0.00000000,-1.09876700
-7.29103385,-0.00610426,-1.09876700
-7.28848385,0.00000000,-0.73251120
-7.28593385,-0.00610426,-0.73251120
-7.28338385,0.00000000,-1.09876700
-7.28083385,0.00000000,-1.09876700
-7.27828385,-0.01098767,-1.09876700
-7.27573385,0.00000000,-0.73251120
-7.27318385,-0.00610426,-0.73251120
-7.27063385,-0.00610426,-1.09876700
-7.26808385,0.00000000,-0.73251120
-7.26553385,-0.02197534,-0.73251120
-7.26298385,0.00488341,-1.09876700
-7.26043385,0.00000000,-1.09876700
-7.25788385,0.00000000,-0.73251120
-7.25533385,0.00000000,-1.09876700
-7.25278385,-0.00610426,-1.09876700
-7.25023385,0.00488341,-1.09876700
-7.24768385,-0.00610426,-1.09876700
-7.24513385,-0.00610426,-1.09876700
-7.24258385,0.00976682,-0.73251120
-7.24003385,0.00000000,-1.09876700
-7.23748385,0.00488341,-0.73251120
-7.23493385,-0.00610426,-1.09876700
-7.23238385,0.00488341,-0.73251120
-7.22983385,-0.00610426,-1.09876700
-7.22728385,-0.00610426,-1.09876700
-7.22473385,0.00000000,-1.09876700
-7.22218385,0.00000000,-1.09876700
-7.21963385,0.00000000,-1.09876700
-7.21708385,0.00000000,-1.09876700
-7.21453385,0.01465023,-1.09876700
-7.21198385,0.00000000,-1.09876700
-7.20943385,-0.00610426,-0.73251120
-7.20688385,0.00000000,-1.09876700
-7.20433385,-0.01587108,-1.09876700
-7.20178385,0.00000000,-0.36625560
-7.19923385,0.00000000,-0.36625560
-7.19668385,0.00488341,-0.36625560
-7.19413385,0.00000000,-0.73251120
-7.19158385,-0.00610426,-0.73251120
-7.18903385,-0.01098767,-1.09876700
-7.18648385,-0.01098767,-1.09876700
-7.18393385,0.00000000,-1.09876700
-7.18138385,0.00488341,-1.46502200
-7.17883385,-0.01098767,-0.73251120
-7.17628385,0.00488341,-0.73251120
-7.17373385,0.00488341,-0.73251120
-7.17118385,0.00000000,-1.09876700
-7.16863385,-0.00610426,-1.09876700
-7.16608385,-0.00610426,-1.09876700
-7.16353385,0.00488341,-1.09876700
-7.16098385,0.00488341,-1.46502200
-7.15843385,0.00000000,-1.09876700
-7.15588385,0.00000000,-0.73251120
-7.15333385,-0.01098767,-0.73251120
-7.15078385,-0.00610426,-1.09876700
-7.14823385,0.00976682,-0.73251120
-7.14568385,0.00000000,-1.09876700
-7.14313385,-0.00610426,-0.73251120
-7.14058385,0.00488341,-1.09876700
-7.13803386,0.00488341,-1.09876700
-7.13548386,-0.00610426,-0.73251120
-7.13293386,0.00488341,-0.73251120
-7.13038386,-0.00610426,-1.09876700
-7.12783386,0.00000000,-0.73251120
-7.12528386,-0.01098767,-0.73251120
-7.12273386,0.00976682,-1.09876700
-7.12018386,0.00000000,-0.73251120
-7.11763386,0.00000000,-0.36625560
-7.11508386,0.00000000,-1.09876700
-7.11253386,-0.01098767,-1.09876700
-7.10998386,0.00488341,-0.73251120
-7.10743386,-0.00610426,-0.73251120
-7.10488386,0.00000000,-1.09876700
-7.10233386,0.00000000,-0.36625560
-7.09978386,0.00000000,-0.73251120
-7.09723386,0.00488341,-0.73251120
-7.09468386,0.00000000,-0.73251120
-7.09213386,-0.00610426,-0.73251120
-7.08958386,0.00488341,-1.09876700
-7.08703386,0.00000000,-1.09876700
-7.08448386,-0.00610426,-1.09876700
-7.08193386,-0.00610426,-1.09876700
-7.07938386,0.00000000,-0.73251120
-7.07683386,0.00000000,-1.09876700
-7.07428386,-0.00610426,-0.73251120
-7.07173386,0.00000000,-1.46502200
-7.06918386,0.00000000,-0.73251120
-7.06663386,0.00000000,-1.09876700
-7.06408386,0.00488341,-1.46502200
-7.06153386,0.00976682,-1.46502200
-7.05898386,0.00000000,-0.73251120
-7.05643386,0.00000000,-0.73251120
-7.05388386,0.00000000,-1.09876700
-7.05133386,-0.00610426,-1.09876700
-7.04878386,0.00976682,-1.09876700
-7.04623386,0.00000000,-0.73251120
-7.04368386,0.00488341,-0.73251120
-7.04113386,-0.00610426,-1.09876700
-7.03858386,-0.01098767,-1.09876700
-7.03603386,0.00000000,-0.73251120
-7.03348386,-0.00610426,-1.46502200
-7.03093386,0.00000000,-0.73251120
