Time,Channel A,Channel B
(ms),(V),(mV)

-7.50574623,0.01465023,-1.09876700
-7.50319623,-0.01587108,-1.09876700
-7.50064623,-0.00610426,-0.73251120
-7.49809623,0.00000000,-1.09876700
-7.49554624,-0.01098767,-0.36625560
-7.49299624,-0.00610426,-0.36625560
-7.49044624,-0.00610426,-1.09876700
-7.48789624,-0.01098767,-0.73251120
-7.48534624,0.00000000,-0.73251120
-7.48279624,-0.00610426,-1.09876700
-7.48024624,0.00000000,-1.09876700
-7.47769624,-0.00610426,-0.73251120
-7.47514624,0.00976682,-0.73251120
-7.47259624,-0.00610426,-0.73251120
-7.47004624,-0.00610426,-1.09876700
-7.46749624,-0.01098767,-0.73251120
-7.46494624,0.00000000,-0.73251120
-7.46239624,0.00000000,-0.36625560
-7.45984624,0.00000000,-0.73251120
-7.45729624,0.00000000,-1.09876700
-7.45474624,0.00000000,-1.09876700
-7.45219624,0.00000000,-0.73251120
-7.44964624,-0.01098767,-1.09876700
-7.44709624,-0.00610426,-1.09876700
-7.44454624,0.00000000,-0.73251120
-7.44199624,0.00000000,-0.73251120
-7.43944624,0.00000000,-0.73251120
-7.43689624,0.00000000,-0.73251120
-7.43434624,-0.00610426,-1.09876700
-7.43179624,0.00000000,-0.36625560
-7.42924624,0.00000000,-0.73251120
-7.42669624,0.00000000,-0.36625560
-7.42414624,-0.00610426,-0.73251120
-7.42159624,0.00976682,-0.73251120
-7.41904624,-0.01587108,-1.09876700
-7.41649624,0.00488341,-1.09876700
-7.41394624,0.00488341,-0.73251120
-7.41139624,0.00000000,-0.73251120
-7.40884624,-0.00610426,-0.73251120
-7.40629624,-0.00610426,-0.73251120
-7.40374624,-0.00610426,-0.73251120
-7.40119624,-0.00610426,-0.73251120
-7.39864624,0.00000000,-0.73251120
-7.39609624,0.00000000,-1.09876700
-7.39354624,0.00000000,-1.09876700
-7.39099624,0.00488341,-0.73251120
-7.38844624,0.00000000,-0.73251120
-7.38589624,0.00000000,-0.36625560
-7.38334624,0.00000000,-1.46502200
-7.38079624,-0.00610426,-1.09876700
-7.37824624,-0.01098767,-1.09876700
-7.37569624,0.00488341,-1.09876700
-7.37314624,0.00000000,-1.09876700
-7.37059624,-0.00610426,-0.73251120
-7.36804624,0.00488341,-1.09876700
-7.36549624,0.00488341,-0.73251120
-7.36294624,-0.00610426,-1.46502200
-7.36039624,-0.00610426,-1.09876700
-7.35784624,0.00000000,-0.73251120
-7.35529624,-0.00610426,-1.09876700
-7.35274624,0.00000000,-1.09876700
-7.35019624,-0.00610426,-0.73251120
-7.34764624,0.00000000,-1.09876700
-7.34509624,0.00488341,-0.73251120
-7.34254624,0.00488341,-1.46502200
-7.33999624,0.00976682,-1.09876700
-7.33744624,0.00488341,-0.73251120
-7.33489624,-0.01587108,-0.73251120
-7.33234624,0.00976682,-0.73251120
-7.32979624,0.00488341,-1.09876700
-7.32724624,0.00000000,-0.73251120
-7.32469624,-0.00610426,-0.36625560
-7.32214624,-0.01098767,-1.09876700
-7.31959624,0.00000000,-1.09876700
-7.31704624,-0.00610426,-0.36625560
-7.31449624,0.00488341,-1.09876700
-7.31194624,-0.00610426,-1.46502200
-7.30939625,0.00488341,-0.73251120
-7.30684625,0.00488341,-1.09876700
-7.30429625,-0.01098767,-1.09876700
-7.30174625,-0.00610426,-1.09876700
-7.29919625,-0.00610426,-0.73251120
-7.29664625,0.00000000,-1.09876700
-7.29409625,0.00488341,-0.73251120
-7.29154625,-0.00610426,-1.09876700
-7.28899625,-0.01587108,-0.73251120
-7.28644625,0.00488341,-1.09876700
-7.28389625,0.00000000,-0.73251120
-7.28134625,-0.01098767,-1.46502200
-7.27879625,0.00488341,-0.36625560
-7.27624625,-0.00610426,-0.36625560
-7.27369625,0.00976682,-0.73251120
-7.27114625,0.00000000,-1.09876700
-7.26859625,0.00488341,-0.73251120
-7.26604625,0.00000000,-1.46502200
-7.26349625,0.00000000,-1.09876700
-7.26094625,0.00488341,-1.46502200
-7.25839625,-0.00610426,-1.09876700
-7.25584625,0.00000000,-0.73251120
-7.25329625,-0.00610426,-1.09876700
-7.25074625,0.00000000,-0.73251120
-7.24819625,-0.00610426,-1.09876700
-7.24564625,0.00976682,-0.73251120
-7.24309625,-0.00610426,-1.09876700
-7.24054625,-0.00610426,-0.73251120
-7.23799625,-0.01098767,-0.73251120
-7.23544625,0.00488341,-1.09876700
-7.23289625,0.00976682,-0.73251120
-7.23034625,-0.00610426,-1.09876700
-7.22779625,0.00488341,-1.46502200
-7.22524625,0.00000000,-1.09876700
-7.22269625,-0.00610426,-0.73251120
-7.22014625,0.00000000,-1.09876700
-7.21759625,0.00488341,-1.09876700
-7.21504625,-0.00610426,-0.73251120
-7.21249625,-0.00610426,-1.09876700
-7.20994625,-0.01587108,-1.09876700
-7.20739625,0.00000000,-0.73251120
-7.20484625,0.00000000,-1.09876700
-7.20229625,0.00488341,-0.73251120
-7.19974625,-0.00610426,-0.73251120
-7.19719625,0.00488341,-0.73251120
-7.19464625,0.00000000,-0.73251120
-7.19209625,0.00000000,-0.73251120
-7.18954625,0.00488341,-0.73251120
-7.18699625,0.00488341,-0.73251120
-7.18444625,0.00000000,-0.36625560
-7.18189625,0.00000000,-1.09876700
-7.17934625,0.00000000,-0.73251120
-7.17679625,0.00000000,-1.09876700
-7.17424625,0.00488341,-0.73251120
-7.17169625,-0.00610426,-0.73251120
-7.16914625,-0.00610426,-1.09876700
-7.16659625,-0.00610426,-1.09876700
-7.16404625,-0.00610426,-1.09876700
-7.16149625,0.00976682,-0.73251120
-7.15894625,0.00976682,-1.46502200
-7.15639625,0.00488341,-0.36625560
-7.15384625,-0.00610426,-1.09876700
-7.15129625,-0.01098767,-0.73251120
-7.14874625,0.00488341,-1.09876700
-7.14619625,0.00000000,-0.73251120
-7.14364625,0.00976682,-0.73251120
-7.14109625,-0.01098767,-1.46502200
-7.13854625,0.00488341,-0.73251120
-7.13599625,-0.00610426,-1.09876700
-7.13344625,0.00488341,-0.73251120
-7.13089625,-0.00610426,-0.36625560
-7.12834625,-0.00610426,-1.09876700
-7.12579625,0.00000000,-0.73251120
-7.12324626,-0.00610426,-1.09876700
-7.12069626,0.00000000,-1.09876700
-7.11814626,0.00976682,-1.46502200
-7.11559626,-0.00610426,-0.73251120
-7.11304626,-0.00610426,-0.73251120
-7.11049626,0.00488341,-1.09876700
-7.10794626,-0.00610426,-1.09876700
-7.10539626,0.00000000,-0.73251120
-7.10284626,0.00488341,-1.09876700
-7.10029626,0.00000000,-1.09876700
-7.09774626,-0.00610426,-1.09876700
-7.09519626,-0.00610426,-1.09876700
-7.09264626,-0.01098767,-1.09876700
-7.09009626,0.00000000,-0.36625560
-7.08754626,0.00488341,-1.46502200
-7.08499626,-0.01098767,-0.73251120
-7.08244626,-0.00610426,-0.36625560
-7.07989626,0.00000000,-1.09876700
-7.07734626,-0.01098767,-0.73251120
-7.07479626,0.00488341,-0.73251120
-7.07224626,-0.00610426,-0.73251120
-7.06969626,0.00000000,-1.09876700
-7.06714626,0.00000000,-1.09876700
-7.06459626,0.00000000,-0.73251120
-7.06204626,0.00488341,-0.73251120
-7.05949626,-0.01098767,-0.36625560
-7.05694626,0.00488341,-0.73251120
-7.05439626,-0.00610426,-0.36625560
-7.05184626,-0.01098767,-0.73251120
-7.04929626,-0.00610426,-1.09876700
-7.04674626,-0.01587108,-1.46502200
-7.04419626,0.00000000,-1.09876700
-7.04164626,-0.00610426,-0.73251120
-7.03909626,0.00000000,-1.09876700
-7.03654626,0.00488341,-1.09876700
-7.03399626,-0.01098767,-1.09876700
-7.03144626,0.00976682,-1.09876700
